dataset,detector,feature_extractor,use_best_ckpt,is_ood_label_in_train,ood_label,fpr_95,fpr_90,aupr,auroc,f1,mcc,adb_alpha,adb_step_size
rostd,KNN,bert,False,False,oos,0.026099060433824383,0.014035494722190001,0.9797685390640136,0.993379247408582,0.9399486191393706,0.9182492114262093,,
rostd,KNN,mpnet,False,False,oos,0.006843753624869504,0.002203920658856281,0.9953748295633464,0.9978437164611589,0.9683257918552037,0.9569544272230799,,
rostd,KNN,use,False,False,oos,0.02354715230251711,0.009395661756176777,0.9859224702501076,0.9938698834673666,0.9423361261705273,0.9222909633176763,,
rostd,LOF,bert,False,False,oos,0.2705022619185709,0.2232919614893864,0.5320730925748827,0.859320714939699,0.02736239261851734,0.08375662832530985,,
rostd,LOF,bert,True,False,oos,0.2705022619185709,0.2232919614893864,0.5320730925748827,0.859320714939699,0.02736239261851734,0.08375662832530985,,
rostd,LOF,mpnet,False,False,oos,0.30274910103236286,0.2653984456559564,0.47076573053854465,0.8285742761804263,0.0032310177705977385,0.03452075814407139,,
rostd,LOF,mpnet,True,False,oos,0.30274910103236286,0.2653984456559564,0.47076573053854465,0.8285742761804263,0.0032310177705977385,0.03452075814407139,,
rostd,LOF,use,False,False,oos,0.34114371882612227,0.2913815102656304,0.46691861398590284,0.8188313401947303,0.017263427109974427,0.0578262498702808,,
rostd,LOF,use,True,False,oos,0.34114371882612227,0.2913815102656304,0.46691861398590284,0.8188313401947303,0.017263427109974427,0.0578262498702808,,
rostd,LikelihoodRatio,None,False,False,oos,0.12504349843405638,0.03909059273866141,0.9506215763489838,0.9722894234707228,,,,
rostd,MSP,bert,False,False,oos,0.8585572810217038,0.7164266140999822,0.7184654969012179,0.8174716363932579,0.4817695673310647,0.4944024840307536,,
rostd,MSP,bert,False,True,oos,0.0008119707690523141,0.00034798747245099175,0.9995564323228244,0.9998458644485562,0.9904515293736851,0.987029874983066,,
rostd,MSP,bert,True,False,oos,0.8978663751107793,0.7953008875816449,0.6165537367477696,0.7501448070846795,0.393140517020732,0.4201546259507556,,
rostd,MSP,bert,True,True,oos,0.00046398329660132234,0.0001159958241503306,0.9997778531944659,0.9999229322242781,0.9964470284237726,0.9951736456230271,,
rostd,MSP,mpnet,False,False,oos,0.9179574128893824,0.8339724494413564,0.5564655514068433,0.7006412804737735,0.2501411631846414,0.3256193160803692,,
rostd,MSP,mpnet,False,True,oos,0.0007840132911722591,0.0007426790296175367,0.9976863576823779,0.9995805380779754,0.9967710687762351,0.9956148765738084,,
rostd,MSP,mpnet,True,False,oos,0.611935470323068,0.22410293229443753,0.8845937836066897,0.9281534440811912,0.7057608920090853,0.6769215109319944,,
rostd,MSP,mpnet,True,True,oos,0.00011338504784818077,0.00010740927097881563,0.9996509074725978,0.9999344567284898,0.9985448666127728,0.9980233365924506,,
rostd,MSP,use,False,False,oos,0.9219166243073527,0.843558065122652,0.5138445068981585,0.6787929226780846,0.27025527192008875,0.3323372807565484,,
rostd,MSP,use,False,True,oos,0.0006890387081200212,0.0006527116375161845,0.9979046846506354,0.9996105318202072,0.995164410058027,0.9934358381691705,,
rostd,MSP,use,True,False,oos,0.9034590637090006,0.8052430112515951,0.5956907998528203,0.7360716043348653,0.395224790449581,0.4147752399899974,,
rostd,MSP,use,True,True,oos,0.0001159958241503306,0.0,0.9999498754149132,0.9999824692395216,0.9982209283519327,0.9975830572637364,,
rostd,RAKE,None,False,False,oos,,,,,0.26191811553561417,0.3349778663253479,,
rostd,TrustScores,bert,False,False,oos,0.05637397053706067,0.03584270966245215,0.9162146401778689,0.9809806639841224,0.4773166396166628,0.25925230585754927,,
rostd,TrustScores,bert,True,False,oos,0.05706994548196265,0.03595870548660248,0.9217793233194107,0.9817037046213261,0.4773166396166628,0.25925230585754927,,
rostd,TrustScores,mpnet,False,False,oos,0.034334763948497854,0.018443336039902565,0.9652796743666325,0.9913401609451444,0.4586611251298798,0.21401959548511465,,
rostd,TrustScores,mpnet,True,False,oos,0.03595870548660248,0.01960329428140587,0.9604819565366348,0.9907008325046576,0.4586611251298798,0.21401959548511465,,
rostd,TrustScores,use,False,False,oos,0.06553764064493678,0.034798747245099175,0.9462966967291748,0.983508096621143,0.49388244702119155,0.2946728069825171,,
rostd,TrustScores,use,True,False,oos,0.05324208328500174,0.028534972740981324,0.9548500234704289,0.9862811851394709,0.49388244702119155,0.2946728069825171,,
snips,ADB,bert,False,False,oos,,,,,0.5632183908045977,0.5230067686881292,0.75,0.01
snips,ADB,bert,False,True,oos,,,,,0.12676056338028166,0.06648548238425406,0.75,0.01
snips,ADB,mpnet,False,False,oos,,,,,0.5766871165644171,0.5625035093919111,0.75,0.01
snips,ADB,mpnet,False,True,oos,,,,,0.20143884892086328,0.1731274181598164,0.75,0.01
snips,ADB,use,False,False,oos,,,,,0.5913978494623655,0.5385456666417954,0.75,0.01
snips,ADB,use,False,True,oos,,,,,0.11347517730496452,0.051761063917377434,0.75,0.01
snips,BiEncoderCosine,mpnet,False,False,oos,0.24620573355817876,0.09612141652613827,0.8577795346592443,0.9549573686781926,0.7979274611398963,0.7722100410538729,,
snips,BiEncoderEntropy,mpnet,False,False,oos,0.33052276559865085,0.11467116357504216,0.8498864348947187,0.9531764668799546,0.8059701492537313,0.7758141389507378,,
snips,BiEncoderEuclidean,mpnet,False,False,oos,0.23102866779089376,0.15345699831365936,0.8677951206715129,0.9521205339553358,0.808080808080808,0.7801627561633706,,
snips,BiEncoderLOF,mpnet,False,False,oos,0.5480607082630692,0.3102866779089376,0.788840323728976,0.9167704212699562,0.7835051546391752,0.7545123915608686,,
snips,BiEncoderMaha,mpnet,False,False,oos,0.43170320404721746,0.10455311973018551,0.867172085882822,0.9496777040550975,0.8374384236453202,0.8115940801231829,,
snips,BiEncoderPCACosine,mpnet,False,False,oos,0.16357504215851604,0.10455311973018551,0.8620506318147503,0.9550519298356213,0.8155339805825242,0.78457783838514,,
snips,BiEncoderPCAEntropy,mpnet,False,False,oos,0.32040472175379425,0.11467116357504216,0.8643134138865322,0.9474555168555263,0.8258706467661693,0.7991008718209199,,
snips,BiEncoderPCAEuclidean,mpnet,False,False,oos,0.2715008431703204,0.11804384485666104,0.8619692904894323,0.952624860128288,0.8159203980099503,0.7874575053858289,,
